ensembl_id,gene_symbol,description,hg_chr,hg_start,hg_stop
ENSG00000084754,HADHA,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit",chr2,26413503,26467594
ENSG00000140374,ETFA,"electron-transfer-flavoprotein, alpha polypeptide",chr15,76508628,76603810
ENSG00000115286,NDUFS7,"NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)",chr19,1383882,1395588
ENSG00000157184,CPT2,carnitine palmitoyltransferase 2,chr1,53662100,53679869
ENSG00000083123,BCKDHB,"branched chain keto acid dehydrogenase E1, beta polypeptide",chr6,80816343,81055987
ENSG00000101365,IDH3B,isocitrate dehydrogenase 3 (NAD+) beta,chr20,2639040,2644865
ENSG00000011376,LARS2,"leucyl-tRNA synthetase 2, mitochondrial",chr3,45430074,45590328
ENSG00000122971,ACADS,"acyl-CoA dehydrogenase, C-2 to C-3 short chain",chr12,121163570,121177811
ENSG00000168924,LETM1,leucine zipper-EF-hand containing transmembrane protein 1,chr4,1813205,1857974
ENSG00000169020,ATP5I,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit E",chr4,666224,668127
ENSG00000198836,OPA1,optic atrophy 1 (autosomal dominant),chr3,193310932,193415600
ENSG00000148090,AUH,AU RNA binding protein/enoyl-CoA hydratase,chr9,93976096,94124206
ENSG00000163541,SUCLG1,"succinate-CoA ligase, alpha subunit",chr2,84650646,84686586
ENSG00000178127,NDUFV2,"NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa",chr18,9102627,9134343
ENSG00000119723,COQ6,coenzyme Q6 monooxygenase,chr14,74416636,74429813
ENSG00000055950,MRPL43,mitochondrial ribosomal protein L43,chr10,102737578,102747272
ENSG00000106077,ABHD11,abhydrolase domain containing 11,chr7,73150424,73153184
ENSG00000154723,ATP5J,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6",chr21,27096790,27107965
ENSG00000166136,NDUFB8,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa",chr10,102283485,102289680
ENSG00000196365,LONP1,"lon peptidase 1, mitochondrial",chr19,5691844,5720463
ENSG00000091140,DLD,dihydrolipoamide dehydrogenase,chr7,107531551,107561643
ENSG00000156709,AIFM1,"apoptosis-inducing factor, mitochondrion-associated, 1",chrX,129263337,129299861
ENSG00000134463,ECHDC3,enoyl CoA hydratase domain containing 3,chr10,11784355,11806065
ENSG00000155008,APOOL,apolipoprotein O-like,chrX,84258897,84348323
ENSG00000159111,MRPL10,mitochondrial ribosomal protein L10,chr17,45900637,45908907
ENSG00000148187,MRRF,mitochondrial ribosome recycling factor,chr9,125026881,125085742
ENSG00000110717,NDUFS8,"NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)",chr11,67798083,67804114
ENSG00000117054,ACADM,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain",chr1,76190031,76229363
ENSG00000132305,IMMT,"inner membrane protein, mitochondrial",chr2,86371054,86422893
ENSG00000100575,TIMM9,translocase of inner mitochondrial membrane 9 homolog (yeast),chr14,58875369,58894232
ENSG00000151729,SLC25A4,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4",chr4,186064416,186071538
ENSG00000100347,SAMM50,SAMM50 sorting and assembly machinery component,chr22,44351260,44392412
ENSG00000158864,NDUFS2,"NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase)",chr1,161169104,161184184
ENSG00000167792,NDUFV1,"NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa",chr11,67374322,67380012
ENSG00000100412,ACO2,"aconitase 2, mitochondrial",chr22,41865128,41924993
ENSG00000156502,SUPV3L1,"suppressor of var1, 3-like 1 (S. cerevisiae)",chr10,70939992,70968849
ENSG00000066926,FECH,ferrochelatase,chr18,55212072,55253969
ENSG00000085760,MTIF2,mitochondrial translational initiation factor 2,chr2,55463755,55496384
ENSG00000167085,PHB,prohibitin,chr17,47481409,47492267
ENSG00000198130,HIBCH,3-hydroxyisobutyryl-CoA hydrolase,chr2,191069359,191184771
ENSG00000122140,MRPS2,mitochondrial ribosomal protein S2,chr9,138392476,138396519
ENSG00000113013,HSPA9,heat shock 70kDa protein 9 (mortalin),chr5,137890570,137911318
ENSG00000148290,SURF1,surfeit 1,chr9,136218659,136223361
ENSG00000165672,PRDX3,peroxiredoxin 3,chr10,120927214,120938377
ENSG00000165678,GHITM,growth hormone inducible transmembrane protein,chr10,85899184,85913311
ENSG00000151806,GUF1,GUF1 GTPase homolog (S. cerevisiae),chr4,44680432,44702697
ENSG00000099800,TIMM13,translocase of inner mitochondrial membrane 13 homolog (yeast),chr19,2425621,2427914
ENSG00000214113,LYRM4,LYR motif containing 4,chr6,5108652,5261183
ENSG00000166902,MRPL16,mitochondrial ribosomal protein L16,chr11,59573607,59578345
ENSG00000185608,MRPL40,mitochondrial ribosomal protein L40,chr22,19420035,19423596
ENSG00000067829,IDH3G,isocitrate dehydrogenase 3 (NAD+) gamma,chrX,153051220,153059978
ENSG00000143252,SDHC,"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa",chr1,161284165,161334535
ENSG00000136521,NDUFB5,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa",chr3,179322574,179342288
ENSG00000167985,SDHAF2,succinate dehydrogenase complex assembly factor 2,chr11,61197596,61214239
ENSG00000135469,COQ10A,coenzyme Q10 homolog A (S. cerevisiae),chr12,56660641,56664750
ENSG00000160221,C21orf33,chromosome 21 open reading frame 33,chr21,45553493,45565605
ENSG00000100348,TXN2,thioredoxin 2,chr22,36863092,36877687
ENSG00000096080,MRPS18A,mitochondrial ribosomal protein S18A,chr6,43638933,43655549
ENSG00000164919,COX6C,cytochrome c oxidase subunit VIc,chr8,100890222,100906242
ENSG00000147684,NDUFB9,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9, 22kDa",chr8,125551342,125562227
ENSG00000109919,MTCH2,mitochondrial carrier 2,chr11,47638857,47664206
ENSG00000184983,NDUFA6,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa",chr22,42481529,42486888
ENSG00000178537,SLC25A20,"solute carrier family 25 (carnitine/acylcarnitine translocase), member 20",chr3,48894355,48936426
ENSG00000169288,MRPL1,mitochondrial ribosomal protein L1,chr4,78783804,78873944
ENSG00000104980,TIMM44,translocase of inner mitochondrial membrane 44 homolog (yeast),chr19,7991602,8008708
ENSG00000138495,COX17,COX17 cytochrome c oxidase copper chaperone,chr3,119388371,119396243
ENSG00000173436,MINOS1,mitochondrial inner membrane organizing system 1,chr1,19923470,19956315
ENSG00000112096,SOD2,"superoxide dismutase 2, mitochondrial",chr6,160100148,160114353
ENSG00000126267,COX6B1,cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous),chr19,36139124,36149686
ENSG00000073905,VDAC1,voltage-dependent anion channel 1,chr5,133307565,133340824
ENSG00000125656,CLPP,caseinolytic mitochondrial matrix peptidase proteolytic subunit,chr19,6361462,6368915
ENSG00000138796,HADH,hydroxyacyl-CoA dehydrogenase,chr4,108910869,108956331
ENSG00000115361,ACADL,"acyl-CoA dehydrogenase, long chain",chr2,211052715,211090215
ENSG00000075239,ACAT1,acetyl-CoA acetyltransferase 1,chr11,107992257,108018891
ENSG00000156928,MALSU1,mitochondrial assembly of ribosomal large subunit 1,chr7,23338939,23349180
ENSG00000166855,CLPX,caseinolytic mitochondrial matrix peptidase chaperone subunit,chr15,65442783,65477563
ENSG00000164258,NDUFS4,"NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)",chr5,52856464,52979171
ENSG00000105364,MRPL4,mitochondrial ribosomal protein L4,chr19,10362639,10370736
ENSG00000108561,C1QBP,"complement component 1, q subcomponent binding protein",chr17,5336098,5342471
ENSG00000107959,PITRM1,pitrilysin metallopeptidase 1,chr10,3179918,3215033
ENSG00000101019,UQCC1,ubiquinol-cytochrome c reductase complex assembly factor 1,chr20,33890368,33999945
ENSG00000162910,MRPL55,mitochondrial ribosomal protein L55,chr1,228294379,228297013
ENSG00000129282,MRM1,mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae),chr17,34958024,34965407
ENSG00000116353,MECR,mitochondrial trans-2-enoyl-CoA reductase,chr1,29519168,29557470
ENSG00000135900,MRPL44,mitochondrial ribosomal protein L44,chr2,224822120,224832431
ENSG00000119471,HSDL2,hydroxysteroid dehydrogenase like 2,chr9,115142188,115234685
ENSG00000120333,MRPS14,mitochondrial ribosomal protein S14,chr1,174982093,174992591
ENSG00000197150,ABCB8,"ATP-binding cassette, sub-family B (MDR/TAP), member 8",chr7,150725508,150744869
ENSG00000171953,ATPAF2,ATP synthase mitochondrial F1 complex assembly factor 2,chr17,17921333,17942480
ENSG00000139180,NDUFA9,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa",chr12,4758263,4796720
ENSG00000168275,COA6,cytochrome c oxidase assembly factor 6 homolog (S. cerevisiae),chr1,234509213,234519795
ENSG00000099821,POLRMT,polymerase (RNA) mitochondrial (DNA directed),chr19,617222,633568
ENSG00000136003,ISCU,iron-sulfur cluster assembly enzyme,chr12,108956293,108963160
ENSG00000130347,RTN4IP1,reticulon 4 interacting protein 1,chr6,107018902,107077373
ENSG00000197444,OGDHL,oxoglutarate dehydrogenase-like,chr10,50942686,50970425
ENSG00000165629,ATP5C1,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1",chr10,7830092,7849762
ENSG00000103507,BCKDK,branched chain ketoacid dehydrogenase kinase,chr16,31119614,31124112
ENSG00000164347,GFM2,"G elongation factor, mitochondrial 2",chr5,74017028,74063196
ENSG00000123545,NDUFAF4,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 4",chr6,97337186,97345767
ENSG00000125434,SLC25A35,"solute carrier family 25, member 35",chr17,8191081,8198170
ENSG00000108528,SLC25A11,"solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11",chr17,4840425,4843462
ENSG00000150779,TIMM8B,translocase of inner mitochondrial membrane 8 homolog B (yeast),chr11,111955538,111957522
ENSG00000100294,MCAT,malonyl CoA:ACP acyltransferase (mitochondrial),chr22,43528211,43539403
ENSG00000181873,IBA57,"IBA57, iron-sulfur cluster assembly homolog (S. cerevisiae)",chr1,228353428,228369958
ENSG00000215021,PHB2,prohibitin 2,chr12,7074514,7079916
ENSG00000132676,DAP3,death associated protein 3,chr1,155658881,155708800
ENSG00000103121,CMC2,C-x(9)-C motif containing 2,chr16,81009698,81040502
ENSG00000205138,SDHAF1,succinate dehydrogenase complex assembly factor 1,chr19,36486089,36487220
ENSG00000239789,MRPS17,mitochondrial ribosomal protein S17,chr7,56019610,56023033
ENSG00000147576,ADHFE1,"alcohol dehydrogenase, iron containing, 1",chr8,67344717,67381044
ENSG00000244005,NFS1,NFS1 cysteine desulfurase,chr20,34256609,34287287
ENSG00000101247,NDUFAF5,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 5",chr20,13765671,13799067
ENSG00000158042,MRPL17,mitochondrial ribosomal protein L17,chr11,6701615,6704632
ENSG00000136463,TACO1,translational activator of mitochondrially encoded cytochrome c oxidase I,chr17,61678230,61685725
ENSG00000171109,MFN1,mitofusin 1,chr3,179065479,179111008
ENSG00000196850,PPTC7,PTC7 protein phosphatase homolog (S. cerevisiae),chr12,110972236,111021064
ENSG00000174547,MRPL11,mitochondrial ribosomal protein L11,chr11,66202549,66206310
ENSG00000131143,COX4I1,cytochrome c oxidase subunit IV isoform 1,chr16,85833172,85840607
ENSG00000145494,NDUFS6,"NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme Q reductase)",chr5,1801495,1816167
ENSG00000172172,MRPL13,mitochondrial ribosomal protein L13,chr8,121408082,121457647
ENSG00000083720,OXCT1,3-oxoacid CoA transferase 1,chr5,41730166,41870791
ENSG00000135940,COX5B,cytochrome c oxidase subunit Vb,chr2,98262520,98264657
ENSG00000005882,PDK2,"pyruvate dehydrogenase kinase, isozyme 2",chr17,48172100,48188733
ENSG00000023330,ALAS1,"aminolevulinate, delta-, synthase 1",chr3,52232098,52248343
ENSG00000243147,MRPL33,mitochondrial ribosomal protein L33,chr2,27994583,28002608
ENSG00000135297,MTO1,mitochondrial tRNA translation optimization 1,chr6,74171453,74211179
ENSG00000121897,LIAS,lipoic acid synthetase,chr4,39460643,39479271
ENSG00000128609,NDUFA5,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5",chr7,123181082,123197958
ENSG00000165264,NDUFB6,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa",chr9,32553523,32573182
ENSG00000128654,MTX2,metaxin 2,chr2,177134122,177202753
ENSG00000172340,SUCLG2,"succinate-CoA ligase, GDP-forming, beta subunit",chr3,67410883,67705038
ENSG00000137714,FDX1,ferredoxin 1,chr11,110300660,110335608
ENSG00000100075,SLC25A1,"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1",chr22,19163087,19166376
ENSG00000147586,MRPS28,mitochondrial ribosomal protein S28,chr8,80831094,80942506
ENSG00000105197,TIMM50,translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae),chr19,39971051,39981528
ENSG00000165637,VDAC2,voltage-dependent anion channel 2,chr10,76969911,76991207
ENSG00000181035,SLC25A42,"solute carrier family 25, member 42",chr19,19174802,19223841
ENSG00000196683,TOMM7,translocase of outer mitochondrial membrane 7 homolog (yeast),chr7,22852250,22862471
ENSG00000104823,ECH1,"enoyl CoA hydratase 1, peroxisomal",chr19,39306061,39322497
ENSG00000059691,PET112,PET112 homolog (yeast),chr4,152591808,152682175
ENSG00000074582,BCS1L,BC1 (ubiquinol-cytochrome c reductase) synthesis-like,chr2,219524378,219528166
ENSG00000132591,ERAL1,Era-like 12S mitochondrial rRNA chaperone 1,chr17,27182042,27188072
ENSG00000187118,CMC1,C-x(9)-C motif containing 1,chr3,28283123,28361263
ENSG00000086504,MRPL28,mitochondrial ribosomal protein L28,chr16,417383,420569
ENSG00000123297,TSFM,"Ts translation elongation factor, mitochondrial",chr12,58176527,58196639
ENSG00000165060,FXN,frataxin,chr9,71650478,71715094
ENSG00000169599,NFU1,NFU1 iron-sulfur cluster scaffold homolog (S. cerevisiae),chr2,69623244,69664760
ENSG00000139131,YARS2,"tyrosyl-tRNA synthetase 2, mitochondrial",chr12,32899477,32908887
ENSG00000197345,MRPL21,mitochondrial ribosomal protein L21,chr11,68658745,68671303
ENSG00000159423,ALDH4A1,"aldehyde dehydrogenase 4 family, member A1",chr1,19197923,19229293
ENSG00000158882,TOMM40L,translocase of outer mitochondrial membrane 40 homolog (yeast)-like,chr1,161195728,161200536
ENSG00000137806,NDUFAF1,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 1",chr15,41679546,41694658
ENSG00000140990,NDUFB10,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10, 22kDa",chr16,2009516,2011976
ENSG00000196177,ACADSB,"acyl-CoA dehydrogenase, short/branched chain",chr10,124768428,124817806
ENSG00000135972,MRPS9,mitochondrial ribosomal protein S9,chr2,105654482,105716418
ENSG00000163050,ADCK3,aarF domain containing kinase 3,chr1,227127937,227175246
ENSG00000072778,ACADVL,"acyl-CoA dehydrogenase, very long chain",chr17,7120443,7128586
ENSG00000167113,COQ4,coenzyme Q4,chr9,131084790,131096351
ENSG00000137547,MRPL15,mitochondrial ribosomal protein L15,chr8,55047780,55061074
ENSG00000131495,NDUFA2,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa",chr5,140024947,140027370
ENSG00000143314,MRPL24,mitochondrial ribosomal protein L24,chr1,156707093,156710923
ENSG00000144381,HSPD1,heat shock 60kDa protein 1 (chaperonin),chr2,198351307,198364998
ENSG00000168653,NDUFS5,"NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase)",chr1,39491966,39500308
ENSG00000147853,AK3,adenylate kinase 3,chr9,4709556,4742043
ENSG00000172115,CYCS,"cytochrome c, somatic",chr7,25158269,25164980
ENSG00000027001,MIPEP,mitochondrial intermediate peptidase,chr13,24304327,24463587
ENSG00000186687,LYRM7,LYR motif containing 7,chr5,130506640,130541119
ENSG00000095321,CRAT,carnitine O-acetyltransferase,chr9,131857072,131873070
ENSG00000114054,PCCB,"propionyl CoA carboxylase, beta polypeptide",chr3,135969166,136049013
ENSG00000125445,MRPS7,mitochondrial ribosomal protein S7,chr17,73257748,73262457
ENSG00000114686,MRPL3,mitochondrial ribosomal protein L3,chr3,131181044,131221860
ENSG00000100033,PRODH,proline dehydrogenase (oxidase) 1,chr22,18900286,18924066
ENSG00000175198,PCCA,"propionyl CoA carboxylase, alpha polypeptide",chr13,100741268,101182691
ENSG00000078070,MCCC1,methylcrotonoyl-CoA carboxylase 1 (alpha),chr3,182733005,182817365
ENSG00000128626,MRPS12,mitochondrial ribosomal protein S12,chr19,39421347,39423659
ENSG00000162129,CLPB,ClpB caseinolytic peptidase B homolog (E. coli),chr11,72003469,72145724
ENSG00000152256,PDK1,"pyruvate dehydrogenase kinase, isozyme 1",chr2,173420696,173463862
ENSG00000149792,MRPL49,mitochondrial ribosomal protein L49,chr11,64889715,64894841
ENSG00000112695,COX7A2,cytochrome c oxidase subunit VIIa polypeptide 2 (liver),chr6,75947390,75953644
ENSG00000171202,TMEM126A,transmembrane protein 126A,chr11,85358962,85367597
ENSG00000121310,ECHDC2,enoyl CoA hydratase domain containing 2,chr1,53361581,53387446
ENSG00000004961,HCCS,holocytochrome c synthase,chrX,11129405,11141204
ENSG00000106049,HIBADH,3-hydroxyisobutyrate dehydrogenase,chr7,27565058,27702620
ENSG00000115364,MRPL19,mitochondrial ribosomal protein L19,chr2,75873908,75889334
ENSG00000171421,MRPL36,mitochondrial ribosomal protein L36,chr5,1798498,1799956
ENSG00000174032,SLC25A30,"solute carrier family 25, member 30",chr13,45967453,45992590
ENSG00000161267,BDH1,"3-hydroxybutyrate dehydrogenase, type 1",chr3,197236653,197300194
ENSG00000145982,FARS2,"phenylalanyl-tRNA synthetase 2, mitochondrial",chr6,5261583,5771816
ENSG00000131269,ABCB7,"ATP-binding cassette, sub-family B (MDR/TAP), member 7",chrX,74273006,74376175
ENSG00000173171,MTX1,metaxin 1,chr1,155178489,155183624
ENSG00000167774,NDUFA7,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa",chr19,8376183,8386280
ENSG00000134375,TIMM17A,translocase of inner mitochondrial membrane 17 homolog A (yeast),chr1,201924618,201939789
ENSG00000143149,ALDH9A1,"aldehyde dehydrogenase 9 family, member A1",chr1,165631448,165667900
ENSG00000163319,MRPS18C,mitochondrial ribosomal protein S18C,chr4,84377117,84382929
ENSG00000247626,MARS2,"methionyl-tRNA synthetase 2, mitochondrial",chr2,198570027,198573114
ENSG00000119711,ALDH6A1,"aldehyde dehydrogenase 6 family, member A1",chr14,74524367,74551196
ENSG00000161513,FDXR,ferredoxin reductase,chr17,72858618,72869156
ENSG00000111786,GATC,"glutamyl-tRNA(Gln) amidotransferase, subunit C",chr12,120884240,120901556
ENSG00000126602,TRAP1,TNF receptor-associated protein 1,chr16,3708037,3767598
ENSG00000151498,ACAD8,"acyl-CoA dehydrogenase family, member 8",chr11,134123433,134135746
ENSG00000111275,ALDH2,aldehyde dehydrogenase 2 family (mitochondrial),chr12,112204690,112247789
ENSG00000108179,PPIF,peptidylprolyl isomerase F,chr10,81107219,81115089
ENSG00000177370,TIMM22,translocase of inner mitochondrial membrane 22 homolog (yeast),chr17,900356,905390
ENSG00000128928,IVD,isovaleryl-CoA dehydrogenase,chr15,40697685,40713512
ENSG00000087299,L2HGDH,L-2-hydroxyglutarate dehydrogenase,chr14,50709151,50778947
ENSG00000105755,ETHE1,ethylmalonic encephalopathy 1,chr19,44010870,44031396
ENSG00000242485,MRPL20,mitochondrial ribosomal protein L20,chr1,1337275,1342693
ENSG00000005022,SLC25A5,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5",chrX,118602362,118605359
ENSG00000115840,SLC25A12,"solute carrier family 25 (aspartate/glutamate carrier), member 12",chr2,172639914,172750816
ENSG00000187145,MRPS21,mitochondrial ribosomal protein S21,chr1,150266261,150281414
ENSG00000100216,TOMM22,translocase of outer mitochondrial membrane 22 homolog (yeast),chr22,39077953,39080766
ENSG00000167315,ACAA2,acetyl-CoA acyltransferase 2,chr18,47309873,47340251
ENSG00000185414,MRPL30,mitochondrial ribosomal protein L30,chr2,99797541,99816020
ENSG00000103423,DNAJA3,"DnaJ (Hsp40) homolog, subfamily A, member 3",chr16,4475805,4506775
ENSG00000090266,NDUFB2,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa",chr7,140396480,140406446
ENSG00000074071,MRPS34,mitochondrial ribosomal protein S34,chr16,1821895,1823140
ENSG00000105379,ETFB,"electron-transfer-flavoprotein, beta polypeptide",chr19,51848408,51869672
ENSG00000135537,LACE1,lactation elevated 1,chr6,108616097,108844251
ENSG00000130770,ATPIF1,ATPase inhibitory factor 1,chr1,28562601,28564616
ENSG00000116459,ATP5F1,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1",chr1,111991742,112004525
